id,source_type,source,field_or_context,arabic_text,english_translation,treatment,translation_note
SMART-I18N-0534,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:66,jsx,عرض الكل,View All,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0535,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:174,jsx,فشل تحميل لوحة التحكم,Failed to Load Dashboard,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0536,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:175,single,حدث خطأ أثناء تحميل البيانات,An error occurred while loading data,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0537,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:175,jsx,{(error as Error)?.message || 'حدث خطأ أثناء تحميل البيانات'},{(error as Error)?.message || 'An error occurred while loading data'},i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0538,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:190 | frontend/src/admin/components/shared/DataTable.tsx:41,jsx | double,لا توجد بيانات,No Data Available,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0539,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:191,jsx,لم يتم العثور على بيانات لوحة التحكم,No dashboard data was found,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0540,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:199,single,خدمة غير نشطة,Inactive Service,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0541,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:200,single,مشروع غير منشور,Unpublished Project,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0542,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:201,single,مقالة مسودة,Draft Article,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0543,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:202,single,مشروع بدون صورة غلاف,Project Without a Cover Image,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0544,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:209 | frontend/src/admin/pages/Login.tsx:56 | frontend/src/admin/components/layout/Breadcrumb.tsx:5 | frontend/src/admin/components/layout/Sidebar.tsx:32 | frontend/src/admin/components/layout/Sidebar.tsx:82,jsx | double,لوحة التحكم,Dashboard,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0545,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:210,jsx,مرحباً بك في لوحة تحكم Smart Agency,Welcome to the Smart Agency dashboard,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0546,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:220 | frontend/src/admin/pages/projects/ProjectsList.tsx:219 | frontend/src/admin/components/layout/Breadcrumb.tsx:6 | frontend/src/admin/components/layout/Sidebar.tsx:33,double,المشاريع,Projects,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0547,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:227 | frontend/src/admin/pages/services/ServicesList.tsx:57 | frontend/src/admin/components/layout/Sidebar.tsx:46,double,الخدمات,Services,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0548,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:234 | frontend/src/admin/pages/leads/LeadsList.tsx:372 | frontend/src/admin/components/layout/Breadcrumb.tsx:8 | frontend/src/admin/components/layout/Sidebar.tsx:36,double,العملاء المحتملين,Leads,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0549,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:241,double,المقالات,Articles,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0550,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:274,jsx,لا يوجد عملاء محتملين حتى الآن,No leads yet,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0551,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:302,jsx,كل شيء على ما يرام!,Everything looks good!,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0552,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:310,jsx,إجراءات سريعة,Quick Actions,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0553,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:320 | frontend/src/admin/pages/projects/ProjectForm.tsx:296,jsx | double,إضافة مشروع جديد,Add New Project,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0554,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:331 | frontend/src/admin/pages/blog/BlogForm.tsx:215,jsx | double,كتابة مقال جديد,Write New Article,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0555,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:342,jsx,إدارة الخدمات,Manage Services,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0556,frontend_admin_static,frontend/src/admin/pages/Dashboard.tsx:354,jsx,عرض الموقع,View Website,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0557,frontend_admin_static,frontend/src/admin/pages/Login.tsx:15 | frontend/src/admin/pages/team/TeamForm.tsx:35,single | double,البريد الإلكتروني غير صالح,Invalid email address,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0558,frontend_admin_static,frontend/src/admin/pages/Login.tsx:16,single,كلمة المرور يجب أن تكون 6 أحرف على الأقل,Password must be at least 6 characters,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0559,frontend_admin_static,frontend/src/admin/pages/Login.tsx:37,single,تم تسجيل الدخول بنجاح,Logged in successfully,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0560,frontend_admin_static,frontend/src/admin/pages/Login.tsx:40,single,البريد الإلكتروني أو كلمة المرور غير صحيحة,Incorrect email or password,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0561,frontend_admin_static,frontend/src/admin/pages/Login.tsx:65 | frontend/src/admin/pages/team/TeamForm.tsx:246 | frontend/src/admin/pages/leads/LeadsList.tsx:483,jsx,البريد الإلكتروني,Email Address,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0562,frontend_admin_static,frontend/src/admin/pages/Login.tsx:83,jsx,كلمة المرور,Password,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0563,frontend_admin_static,frontend/src/admin/pages/Login.tsx:118,single,تسجيل الدخول,Log In,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0564,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:21 | frontend/src/admin/pages/team/TeamForm.tsx:27 | frontend/src/admin/pages/technologies/TechnologyForm.tsx:26,single | double,الاسم مطلوب,Name is required,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0565,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:69,single,تم تحديث الباقة,Package updated successfully,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0566,frontend_admin_static,frontend/src/admin/pages/hosting/HostingForm.tsx:69,single,تم إضافة الباقة,Package added successfully,i18n-admin-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
