id,source_type,source,field_or_context,arabic_text,english_translation,treatment,translation_note
SMART-I18N-1302,database_public_cms,abouts.json::doc#1,hero.title,لا نبني مواقع فقط… نبني أنظمة رقمية تساعد الشركات على النمو,We don’t just build websites… we build digital systems that help businesses grow,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1303,database_public_cms,abouts.json::doc#1,hero.subtitle,سمارت وكالة تقنية تجمع بين الاستراتيجية، تجربة المستخدم، التصميم، البرمجة، والذكاء الاصطناعي لتحويل الأفكار إلى منتجات رقمية واضحة، قابلة للاستخدام، وقابلة للتوسع.,"Smart is a technology agency that brings together strategy, user experience, design, software development, and artificial intelligence to turn ideas into clear, usable, and scalable digital products.",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1304,database_public_cms,abouts.json::doc#1,hero.badge,من نحن,About Us,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1305,database_public_cms,abouts.json::doc#1,hero.primaryButtonText | cta.buttonText,ابدأ مشروعك معنا,Start Your Project with Us,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1306,database_public_cms,abouts.json::doc#1,hero.secondaryButtonText,شاهد أعمالنا,View Our Work,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1307,database_public_cms,abouts.json::doc#1,hero.trustBadges[0],استراتيجية قبل التنفيذ,Strategy Before Execution,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1308,database_public_cms,abouts.json::doc#1,hero.trustBadges[1],تصميم يخدم التحويل,Design That Drives Conversion,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1309,database_public_cms,abouts.json::doc#1,hero.trustBadges[2],برمجة قابلة للتوسع,Scalable Development,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1310,database_public_cms,abouts.json::doc#1,hero.trustBadges[3],شريك نمو لا مجرد منفذ,"A Growth Partner, Not Just a Vendor",add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-1311,database_public_cms,abouts.json::doc#1,vision,أن تكون سمارت الشريك التقني الأقرب للشركات والمشاريع الطموحة في المنطقة، من خلال بناء منتجات رقمية لا تكتفي بالمظهر الجميل، بل تصنع أثرًا تشغيليًا وتجاريًا حقيقيًا.,To make Smart the closest technology partner to ambitious businesses and projects in the region by building digital products that go beyond visual appeal to create real operational and commercial impact.,add-en-content-field,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
