id,source_type,source,field_or_context,arabic_text,english_translation,treatment,translation_note
SMART-I18N-0164,frontend_legacy_static_data,frontend/src/data/allProjects.ts:5,double,منصة الوفرة التعليمية,Al-Wafrah Education Platform,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0165,frontend_legacy_static_data,frontend/src/data/allProjects.ts:6 | frontend/src/data/allProjects.ts:37 | frontend/src/data/allProjects.ts:59 | frontend/src/data/allProjects.ts:81 | frontend/src/data/projects-data.ts:19 | frontend/src/data/projects-data.ts:32 | frontend/src/data/projects-data.ts:44 | frontend/src/data/projects-data.ts:57,double,نشط,Active,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0166,frontend_legacy_static_data,frontend/src/data/allProjects.ts:7,double,منصة تعليمية متكاملة,Integrated Educational Platform,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0167,frontend_legacy_static_data,frontend/src/data/allProjects.ts:8,double,منصة تعليمية مبتكرة تقدم تجربة تعلم تفاعلية مع لوحة تحكم متقدمة.,An innovative educational platform that delivers an interactive learning experience with an advanced dashboard.,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0168,frontend_legacy_static_data,frontend/src/data/allProjects.ts:11,double,لوحة تحكم متكاملة للمدرسين والطلاب,Integrated Dashboard for Teachers and Students,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0169,frontend_legacy_static_data,frontend/src/data/allProjects.ts:12,double,نظام إدارة محتوى متقدم,Advanced Content Management System,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0170,frontend_legacy_static_data,frontend/src/data/allProjects.ts:13,double,فصول افتراضية تفاعلية,Interactive Virtual Classrooms,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0171,frontend_legacy_static_data,frontend/src/data/allProjects.ts:14,double,نظام تقييم ومتابعة الطلاب,Student Assessment and Tracking System,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0172,frontend_legacy_static_data,frontend/src/data/allProjects.ts:15,double,تكامل مع أنظمة الدفع الإلكتروني,Integration with Online Payment Systems,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0173,frontend_legacy_static_data,frontend/src/data/allProjects.ts:29,double,منصة الوفرة غيرت طريقة تعاملنا مع التعليم الإلكتروني.,Al-Wafrah Platform changed the way we approach e-learning.,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0174,frontend_legacy_static_data,frontend/src/data/allProjects.ts:30,double,أ. محمد السعيد,Mr. Mohammed Al-Saeed,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0175,frontend_legacy_static_data,frontend/src/data/allProjects.ts:31,double,مدير أكاديمية الوفرة,Director of Al-Wafrah Academy,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0176,frontend_legacy_static_data,frontend/src/data/allProjects.ts:36 | frontend/src/data/projects-data.ts:31,double,متجر ريم ستور,Reem Store,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0177,frontend_legacy_static_data,frontend/src/data/allProjects.ts:38 | frontend/src/data/projects-data.ts:34,double,متجر إلكتروني للهدايا والتغليف,E-Commerce Store for Gifts and Packaging,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0178,frontend_legacy_static_data,frontend/src/data/allProjects.ts:39,double,متجر متميز يقدم تجربة شراء فريدة مع نظام تخصيص للهدايا.,A distinctive online store offering a unique shopping experience with a gift customization system.,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0179,frontend_legacy_static_data,frontend/src/data/allProjects.ts:42,double,تصميم أنيق ومتجاوب,Elegant and Responsive Design,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0180,frontend_legacy_static_data,frontend/src/data/allProjects.ts:43,double,نظام تخصيص للطلبات,Order Customization System,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0181,frontend_legacy_static_data,frontend/src/data/allProjects.ts:44,double,إدارة شاملة للمخزون,Comprehensive Inventory Management,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0182,frontend_legacy_static_data,frontend/src/data/allProjects.ts:58 | frontend/src/data/projects-data.ts:43,double,متجر جي اتش نايس,GH Nice Store,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0183,frontend_legacy_static_data,frontend/src/data/allProjects.ts:60,double,تطبيق وموقع لمتاجر الكف الأخضر - اليمن,App and Website for Al-Kaff Al-Akhdar Stores - Yemen,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0184,frontend_legacy_static_data,frontend/src/data/allProjects.ts:61,double,متجر إلكتروني شامل يقدم خدمات التجزئة عبر التطبيق والموقع.,A comprehensive e-commerce store offering retail services through the app and website.,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0185,frontend_legacy_static_data,frontend/src/data/allProjects.ts:64,double,ربط مباشر بين المتاجر والعملاء,Direct Connection Between Stores and Customers,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0186,frontend_legacy_static_data,frontend/src/data/allProjects.ts:65,double,إدارة الطلبات والدفع,Order and Payment Management,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0187,frontend_legacy_static_data,frontend/src/data/allProjects.ts:66,double,تطبيقات أندرويد و iOS,Android and iOS Apps,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0188,frontend_legacy_static_data,frontend/src/data/allProjects.ts:80 | frontend/src/data/projects-data.ts:56,double,متجر نايس وير,Nice Wear Store,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0189,frontend_legacy_static_data,frontend/src/data/allProjects.ts:82 | frontend/src/data/projects-data.ts:59,double,تطبيق متجر إلكتروني للأزياء,Fashion E-Commerce App,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
SMART-I18N-0190,frontend_legacy_static_data,frontend/src/data/allProjects.ts:83,double,تطبيق أزياء حديث بواجهة جذابة وتجربة مستخدم ممتازة.,A modern fashion app with an attractive interface and excellent user experience.,verify-unused-then-remove-or-localize,"Legacy/static dataset; verify usage. Remove if unused, otherwise move to locale/CMS."
