id,source_type,source,field_or_context,arabic_text,english_translation,treatment,translation_note
SMART-I18N-0001,frontend_public_static,frontend/src/pages/about.tsx:53,double,من نحن | Smart Agency,About Us | Smart Agency,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0002,frontend_public_static,frontend/src/pages/about.tsx:54,double,تعرف على وكالة سمارت ورؤيتنا وقصتنا في تقديم الحلول الرقمية المبتكرة.,"Learn about Smart Agency, our vision, our story, and how we deliver innovative digital solutions.",i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0003,frontend_public_static,frontend/src/pages/about.tsx:55,double,"وكالة سمارت, حلول رقمية, تطوير مواقع, تصميم واجهات","Smart Agency, digital solutions, web development, interface design",i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0004,frontend_public_static,frontend/src/pages/about.tsx:138,jsx,لا توجد بيانات متاحة,No data available,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0005,frontend_public_static,frontend/src/pages/about.tsx:139,jsx,نواجه مشكلة في عرض تفاصيل هذه الصفحة حالياً.,We are currently having trouble displaying the details of this page.,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0006,frontend_public_static,frontend/src/pages/blog.tsx:67,double,تعذر تحميل المقالات. حاول مرة أخرى.,Unable to load articles. Please try again.,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0007,frontend_public_static,frontend/src/pages/blog.tsx:104,jsx,كل الأنواع,All types,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0008,frontend_public_static,frontend/src/pages/blog.tsx:105,jsx,مقالات,Articles,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0009,frontend_public_static,frontend/src/pages/blog.tsx:106,jsx,أدلة عملية,Practical Guides,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0010,frontend_public_static,frontend/src/pages/blog.tsx:107,jsx,دراسات حالة,Case Studies,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0011,frontend_public_static,frontend/src/pages/blog.tsx:108,jsx,رؤى تقنية,Tech Insights,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0012,frontend_public_static,frontend/src/pages/blog.tsx:109,jsx,أخبار,News,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0013,frontend_public_static,frontend/src/pages/blog.tsx:116,jsx,الأحدث,Latest,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
SMART-I18N-0014,frontend_public_static,frontend/src/pages/blog.tsx:117 | frontend/src/components/blog/BlogSidebar.tsx:20,jsx,الأكثر قراءة,Most Read,i18n-public-ui,Proposed English copy for bilingual implementation; review brand/proper-name spelling before production.
